Name,Nicknames,Age,Born Date,Born Location,Born Country,Continent,Died Date,Died Location,Date Apprehended,Apprehended Age,Conviction,Criminal Penalty,Criminal Penalty Categories,Zodiac Sign
Peter Sutcliffe,"Peter Coonan, Yorkshire Ripper",74.0,1946-06-02,"Shipley, West Riding of Yorkshire, England",England,Europe,2020-11-13,"Durham, England",1981-01-02,34,,life imprisonment (whole life order),Life Imprisonment,Gemini
Fosaville Serial Killer,"Newls serial killer, Durban,s Killing Fields",,,,,,,,,,,,,
William Suff,"William Lester Suff, The Riverside Prostitute Killer, The Lake Elsinore Killer",,1950-08-20,,,,,,1992-01-09,41,"Attempted Murder, Murder","deathpenalty on October 26, 1995 (de jure)",Death Sentence,Leo
Richard Ramirez,"The Night Stalker, The Walk-In Killer, The Valley Intruder",53.0,1960-02-29,,,,2013-06-07,,1985-08-31,25,"First-Degree Murder, Second-Degree Murder, Rape, First-Degree Burglary",19 death sentences,Death Sentence,Pisces
Sleepy Hollow Killer,Sleepy Hollow Murderer,,,,,,,,,,,,,
Francisco Antonio Laureana,The Satyr of San Isidro,,,"Corrientes, Argentina",Argentina,South America,1975-02-27,"San Isidro, Argentina",,,,,,
Joseph James Deangelo,"Visalia Ransacker, East Area Rapist, East Side Rapist, East Bay Rapist, Creek Bed Killer, Diamond Knot Killer, Original Night Stalker, EARONSGolden State Killer",,1945-11-08,,,,,,2018-04-24,72,"First-Degree Murder With Special Circumstances, Kidnapping",13 consecutive life sentence(s) without the possibility of parole plus 8 years,Life Imprisonment,Scorpio
Tamara Samsonova,"The Granny Ripper, Baba Yaga",,1947-04-25,"Uzhur, Krasnoyarsk Krai, RSFSR, Soviet Union",Soviet Union,Europe,,,2015-01-01,67,Murder,,,Taurus
Herbert Mullin,,75.0,1947-04-18,,,,2022-08-18,,1973-02-13,25,Murder,life imprisonment,Life Imprisonment,Aries
Vladimir Storozhenko,The Smolensk Strangler,,,"Smolensk, Smolensk Oblast, Russian SFSR, Soviet Union",Soviet Union,Europe,,"Smolensk, Smolensk Oblast, Russian SFSR, Soviet Union",1981-07-21,,Murder With Aggravating Circumstances,death,Death Sentence,
Johannes Mashiane,The Beast of Atteridgeville,,,Johannes MashianeSouth Africa,Johannes MashianeSouth Africa,Africa,,"Marabastad, Pretoria, South Africa",,,,,,
Vasiliy Kulik,"The Irkutsk Monster, The Murder Doctor, The Murderer",33.0,1956-01-17,"Irkutsk, Irkutsk Oblast, RSFSR",RSFSR,Europe,1989-06-26,"Angarsk Colony, Irkutsk Oblast, RSFSR",1986-01-17,30,"Murder, Rape, Assault",death,Death Sentence,Capricorn
Nikolai Dudin,"The Grim Maniac, The Furmanov Chikatilo",,1973-12-22,"Mikhalkovo, Ivanovo Oblast, RSFSR",RSFSR,Europe,,,2002-07-17,28,Murder,life imprisonment,Life Imprisonment,Capricorn
Mukosi Freddy Mulaudzi,The Limpopo Serial Killer,,,"Maelula, Limpopo, South Africa",South Africa,Africa,,,2006-07-01,,Murder,11 life sentence(s),Life Imprisonment,
Duan Guocheng,"The Red-Dress Killer, The Red-Dress Slasher, The Wuhan Slasher",,,"Wuhan, Hubei, China",China,Asia,,,2001-08-15,,Murder,life imprisonment,Life Imprisonment,
Nikolay Shubin,"The Cemetery Director, Valre Bomzh, The Chess Player",,,"Tbilisi, Georgian SSR",Georgian SSR,Europe,,,2006-10-01,,Murder,Compulsory treatment,other,
Thozamile Taki,The Sugarcane Killer,,," Johns, South Africa",South Africa,Africa,,,2007-01-01,,"Murder, Armed Robbery",13 life sentence(s) (208 years for armed robbery),Life Imprisonment,
Rainbow Maniac,,,,,,,,,,,,,,
Li Wenxiang,Guangzhou Ripper,,,"Meixian, Guangdong, China",China,Asia,, or thereafter,,,"Murder, Rape, Robbery",deathsentence,Death Sentence,
Adolf Seefeldt,"The Sman, Uncle Tick Tock, Uncle Adi, Adolf Seefeld",66.0,1870-03-06,"Potsdam, North German Confederation",North German Confederation,Europe,1936-05-23,"Schwerin, Nazi Germany",,,Murder,death,Death Sentence,Pisces
José Manuel Martínez,El Mano Negra,,1962-06-13,,,,,,2013-05-17,50,First-Degree Murder Attempted Murder Count,Ten life sentence(s),Life Imprisonment,Gemini
Charles Sobhraj,"Bikini Killer, Splitting Killer, The Serpent",,1944-04-06,,,,,,2003-01-01,58,Murder And,"12 years (c. 1975)10 years (c. 1987), life imprisonment (2004)1 year (2010)20 years (2014)",Life Imprisonment,Aries
Slamet Tohari,Mbah Slamet,,,"Central Java, Indonesia",Indonesia,Asia,,,2023-03-27,,Murder,death,Death Sentence,
Vladimir Romanov,"The Kaliningrad Maniac, The Bagrationvosky Maniac, The Taxi Driver",55.0,1950-12-05,"Orekhovka, Kaliningrad Oblast, RSFSR",RSFSR,Europe,2006-10-12,"Kaliningrad, Kaliningrad Oblast, Russia",2006-09-27,55,Murder,Died by suicide before he could be sentenced,Suicide or Died Before Sentence,Sagittarius
Maury Travis,The Bi-State Strangler,,,,,,2002-06-10,,2002-06-07,,,,,
Dennis Nilsen,The Muswell Hill Murderer,72.0,1945-11-23,"Fraserburgh, Scotland",Scotland,Europe,2018-05-12,"York, England",1983-02-09,37,"Murder, Attempted Murder",life imprisonment (whole life tariff),Life Imprisonment,Sagittarius
Kenneth Bianchi,The Hillside Strangler,,1951-05-22,,,,,,1979-01-12,27,Murder,life imprisonment,Life Imprisonment,Gemini
Enriqueta Martí,,,,,,,1913-05-12,"Barcelona, Kingdom of Spain",,,,,,
Abdallah Al-Hubal,,,,Yemen,Yemen,,1998-08-16,"Faqih, Yemen",,,,,,
Nikolai Shestakov,The Luberetsky Maniac,,,RSFSR,RSFSR,Europe,,RSFSR,1976-03-12,,Murder With Aggravating Circumstances,death,Death Sentence,
Joseph Christopher,"The .22-Caliber Killer, The Midtown Slasher",37.0,1955-07-26,,,,1993-03-01,,1981-01-01,25,Murder,"60 years (overturned), life imprisonment",Life Imprisonment,Leo
Siswanto,Robot Gedek,,,Indonesia,Indonesia,Asia,2007-03-26,"Nusa Kambangan, Indonesia",1996-08-06,,Murder,death,Death Sentence,
Sergey Golovkin,"The Fisher, The Boa, Chikatilo,s Apprentice",36.0,1959-11-26,"Moscow, Soviet Union",Soviet Union,Europe,1996-08-02,"Butyrka Prison, Moscow, Russia",1992-10-19,32,Murder With Aggravating Circumstances,death,Death Sentence,Sagittarius
Tiago Henrique Gomes Da Rocha,,,1988-02-04,"Goinia, Brazil",Brazil,South America,,,2014-10-01,26,,25 years,Years Imprisonment,Aquarius
Herb Baumeister,,49.0,1947-04-07,,,,1996-07-03,"Pinery Provincial Park, Ontario, Canada",,,,,,Aries
Zhang Yongming,"The Cannibal Killer, Cannibal Monster",,,China,China,Asia,,"Yunnan, China",2012-05-09,,"Intentional Homicide, Cannibalism",death,Death Sentence,
Jack Unterweger,,43.0,1950-08-16,occupied Austria,occupied Austria,Europe,1994-06-29,"Karlau Prison, Graz, Styria, Austria",1992-02-27,41,Murder,life imprisonment,Life Imprisonment,Leo
Vaughn Greenwood,Skid Row Slasher,76.0,1944-01-19,,,,2020-12-18,"s Colony, San Luis Obispo, California",1975-02-03,31,"Assault, Murder, Attempted Murder",life imprisonment,Life Imprisonment,Capricorn
Anthony Sowell,,61.0,1959-08-19,,,,2021-02-08,,2009-10-31,50,Sexually Motivated Aggravated Murder Attempted Murder Kidnapping Rape Attempted Rape Abuse Of A Corpse Tampering With Evidence,death,Death Sentence,Leo
Henri Désiré Landru,"The Bluebeard of Gambais; many pseudonyms, including , Monsieur Diard, Dupont",52.0,1869-04-12,"Paris, France",France,Europe,1922-02-25,"Versailles, France",1919-04-12,50,Assassination November,death(30 November 1921),Death Sentence,Aries
Nannie Doss,"The Giggling Nanny, The Giggling Granny, The Jolly Black Widow, The Lonely Hearts Killer",59.0,1905-11-04,"Blue Mountain, Alabama, United States",United States,North America,1965-06-02,"Oklahoma State Penitentiary, McAlester, Oklahoma, United States",1954-10-01,48,,life imprisonment,Life Imprisonment,Scorpio
Marie Alexandrine Becker,"The Black Widow, The Belgian Borgia",62.0,1879-07-14,"Waasmont, Landen, Belgium",Belgium,Europe,1942-06-11,occupied Belgium,1936-10-16,57,Murder,life imprisonment,Life Imprisonment,Cancer
Seisaku Nakamura,Hamamatsu Deaf Killer,,,"Shizuoka, Japan",Japan,Asia,1943-06-19,Japan,1942-10-12,,,death,Death Sentence,
Robledo Puch,"Carlitos, The Angel, The Death Angel, The Black Angel",,1952-01-19,"Buenos Aires, Argentina",Argentina,South America,,,1972-02-04,20,Aggravated Murder Attempted Murder Sexual Crimes Kidnapping Armed Robbery Theft,life imprisonment (plus accessory of indeterminate reclusion)[note 1],Life Imprisonment,Capricorn
Clifford Olson,The Beast of British Columbia,71.0,1940-01-01,"Vancouver, British Columbia, Canada",Canada,North America,2011-09-30," Laval, Quebec, Canada",1981-08-12,41,Murder,life imprisonment,Life Imprisonment,Capricorn
Francisco García Escalero,El Matamendigos (The Beggars Killer),66.0,1948-05-24,"Madrid, Spain",Spain,,2014-08-19,"Alicante, Spain",1994-04-01,45,,"Declared insane, confined to a Psychiatric hospital",Hospital Detention,Gemini
Henry Louis Wallace,,,1965-11-04,,,,,,1994-03-12,28,"First Degree Murder First Degree Rape Second Degree Rape, First Degree Sexual Offense Second Degree Sexual Offense",death,Death Sentence,Scorpio
Benjamin Atkins,"The Woodward Corridor Killer, The HighlPark Strangler, Tony",29.0,1968-08-26,,,,1997-09-17,,1992-08-21,24,"First Degree Murder , First Degree Criminal Sexual Conduct",life imprisonment (x11),Life Imprisonment,Virgo
Adnan Çolak,Artvin Monster,,1952-09-05,Turkey,Turkey,Asia,,,1995-01-01,42,,"Six death sentences and 40 years imprisonment, commuted to life imprisonment",Death Sentence,Virgo
Andre Crawford,Southside Strangler,,,,,,,,2000-01-28,,Murder,life imprisonment,Life Imprisonment,
Francisco De Assis Pereira,"The Park Maniac, Chico Estrela",,1967-11-29,"So Paulo, So Paulo",So Paulo,South America,,,1998-08-04,30,"Murder, Rape, Concealment Of Death, Violent Indecent Assault",268 years imprisonment,Years Imprisonment,Sagittarius
Barnaul Maniac,"The University Maniac, The Tutor",,,,,,,,,,,,,
Gao Chengyong,Chinese Jack the Ripper,54.0,1964-11-10,"Yuzhong County, Gansu, China",China,Asia,2019-01-03,"Baiyin, Gansu, China",2016-08-26,51,"Murder Sexual Assault, Robbery, Defiling Of A Corpse",death,Death Sentence,Scorpio
Yevgeny Petrov,The Novouralsk Ripper,,1975-12-17,"Novouralsk, Sverdlovsk Oblast, RSFSR",RSFSR,Europe,,,2003-08-08,27,Murder,life imprisonment,Life Imprisonment,Sagittarius
Ruslan Khamarov,,,,"Berdiansk, Ukrainian SSR, Soviet Union",Soviet Union,Europe,,,2003-03-01,,"Murder, Robbery",life imprisonment,Life Imprisonment,
West Mesa Killer,,,,,,,,,,,,Never sentenced,Not Sentenced,
Very Idham Henyansyah,"Ryan, Singing serial killer, The butcher of Jombang",,,"Jombang, Indonesia",Indonesia,Asia,,,2008-07-15,,Murder,death,Death Sentence,
Roshu Kha,,,,,,,,,2009-10-07,,"Murder, Rape",death,Death Sentence,
Martin Lecián,"Terror of Moravia, Moravian horror",26.0,1900-10-31,Hungary,Hungary,Europe,1927-10-06,"Olomouc, Czechoslovakia",1927-04-23,26,Murder,death,Death Sentence,Scorpio
Lonnie David Franklin Jr.,Grim Sleeper25 Auto Killer,67.0,1952-08-30,,,,2020-03-28,,2010-07-07,57,First-Degree Murder Under Special Circumstances,death,Death Sentence,Virgo
Rudolf Pleil,The Deathmaker,,,"Brenstein, Erzgebirgskreis, Germany",Germany,Europe,1958-02-18,"Celle, West Germany",1947-04-01,,Murder Manslaughter,life imprisonment,Life Imprisonment,
Milton Johnson,"The Morning murderer, The Weekend murderer",,1950-05-15,"Joliet, Illinois, United States",United States,North America,,,1984-03-09,33,Murder,"death, commuted to life imprisonment",Death Sentence,Taurus
Daniel Lee Siebert,The Southside Slayer,53.0,1954-06-17,,,,2008-04-22,,1986-01-01,31,,death,Death Sentence,Gemini
Sergey Cherny,"The Beast, The Smolensk Strangler, The Smolensky Chikatilo, The Alien, The Tape Man",24.0,1977-05-11,"Odessa, Ukrainian SSR",Ukrainian SSR,Europe,2001-06-24,"Sychyovka, Smolensk Oblast, Russia",1999-12-23,22,Murder,Compulsory treatment,other,Taurus
Jeanne Weber,The Ogress,43.0,1874-10-07,France,France,Europe,1918-07-05,,1908-05-08,33,Murder,Not guilty by reason of insanity,Not Sentenced,Libra
Nikolai Dzhumagaliev,"Metal Fang, Kolya the Maneater, the Almaty Cannibal, Dzhuma, the Satan.",,1952-11-15,"Uzynagash, Kazakh SSR, Soviet Union",Soviet Union,Europe,,,1980-12-19,28,Not Guilty By Reason Of Insanity,Compulsory treatment,other,Scorpio
Bobby Joe Long,"The Classified Ad Rapist, The Adman Rapist",65.0,1953-10-14,,,,2019-05-23,,1984-11-16,31,"First Degree Murder, Armed Burglary, Aggravated Assault, Kidnapping, Robbery, Sexual Battery, September, ,, Sexual Battery","death(July 25, 1986)",Death Sentence,Libra
Stewart Wilken,Boetie Boer,,1966-11-11,"Boksburg, Gauteng, South Africa",South Africa,Africa,,,1997-01-01,30,,7 life sentence(s),Life Imprisonment,Scorpio
Viktor Fokin,"The Pensioner Maniac, The Grfather Ripper",,1935-02-19,"Orsk, Novosibirsk Oblast, RSFSR",RSFSR,Europe,,"Angarsk Colony, Angarsk, Irkutsk Oblast, Russia",2000-03-01,65,Murder,19 years imprisonment,Years Imprisonment,Pisces
David Randitsheni,Modimolle Serial Killer,,,South Africa,South Africa,Africa,,,,,Murder Rape Kidnapping Count Of Indecent Assault,"16 life sentence(s), 220 years imprisonment",Life Imprisonment,
Edmund Kemper,"Co-ed Killer, Co-ed Butcher, Ogre of Aptos The Mad Titan, Big Ed",,1948-12-18,,,,,,1964-08-27,15,First-Degree Murder ×,,,Sagittarius
Dennis Rader,"BTKBTK Killer, BTK Strangler",,1945-03-09,,,,,,2005-02-25,60,First Degree Murder –,life imprisonment without the possibility of parole for 175 years(10 consecutive life sentence(s)),Life Imprisonment,Pisces
Stanislav Rogolev,"Agent 000, Latvian Agent 007",43.0,1941-02-14,"Ogre District, Latvian SSR",Latvian SSR,Europe,1984-06-19,"Leningrad, RSFSR, Soviet Union",,,Murder,death,Death Sentence,Aquarius
Oleg Kuznetsov,"The Balashikha Ripper, False Dmitry, Dmitry Fadeev",31.0,1969-04-30,"Balashikha, Moscow Oblast, RSFSR",RSFSR,Europe,2000-08-04,"Mordovian Zone, Sosnovka, Mordovia, Russia",1992-03-26,22,"Murder, Rape","death, commuted to life imprisonment",Death Sentence,Taurus
Satish,The Bahadurgarh baby killer,,,"Ghaziabad, Uttar Pradesh, India",India,Asia,,,1998-11-20,,"Murder, Rape",Life sentence,Life Imprisonment,
Eduard Shemyakov,"The Resort Maniac, Bloody Eddie",,1975-09-30,"Ignatpol, Zhytomyr Oblast, UkSSR",UkSSR,,,,1998-01-01,22,Murder,Compulsory treatment,other,Libra
Ali Kaya,The Babyface Killer,,,"Gaziantep, Turkey",Turkey,Asia,,,,,,Psychiatric imprisonment 5 years in prison,Years Imprisonment,
Chen Yongfeng,The Butcher,,,"Qingtian County, Zhejiang",Zhejiang,Asia,2004-04-07,,2003-05-24,,,death,Death Sentence,
Zhou Kehua,"Baotouge (Chinese: 爆头哥; lit. ,Mr. Headshot,  or ,Brother Headshot,)",42.0,1970-02-06,"Jingkou Town, Shapingba District, Chongqing, China",China,Asia,2012-08-14,"Chongqing, China",2005-01-01,34,,,,Aquarius
Kang Ho-Sun,,,1969-10-10,"Seocheon, South Korea",South Korea,,,,2009-01-27,39,"Murder Rape, Arson",death,Death Sentence,Libra
Masten Wanjala,,,,"Bungoma, Kenya",Kenya,Africa,,"Bungoma, Kenya",,,,,,
Louis Van Schoor,The Apartheid Killer,,,South Africa,South Africa,Africa,,"East London, South Africa",,,Murder,20 years imprisonment,Years Imprisonment,
Peter Kürten,"The Vampire of Düsseldorf, The Düsseldorf Monster",,,"Mlheim am Rhein, German Empire",German Empire,Europe,1931-07-02,"Klingelputz Prison, Cologne, Weimar Republic",1930-05-24,,"Murder Attempted Murder Arson, Attempted Robbery, Breaking And Entering, Burglary, Seduction, Theft, Threatening Behaviour",death,Death Sentence,
Roger Dale Stafford,,,,,,,1995-07-01,,,,First Degree Murder,Execution by lethal injection,Death Sentence,
Norman Afzal Simons,Station Strangler,,,"Cape Town, South Africa",South Africa,Africa,,,1994-01-01,,,"life imprisonment (25 years for murder, 10 years for kidnap)",Life Imprisonment,
Francis Heaulme,The Criminal Backpacker,,1959-02-25,"Metz, France",France,Europe,,,,,Murder,life imprisonment,Life Imprisonment,Pisces
Joel Rifkin,Joel the Ripper,,1959-01-20,,,,,,1993-06-28,34,,203 years to life imprisonment,Life Imprisonment,Aquarius
Dagmar Overbye,,42.0,1887-04-23,Denmark,Denmark,Europe,1929-05-06,"Denmark, Copenhagen",,,Murder,"death, commuted to life imprisonment",Death Sentence,Taurus
Kenneth Mcduff,"The Broomstick Murderer, The Broomstick Killer",,,"Rosebud, Falls County, Texas",Texas,North America,,,1992-05-04,,Murder With Malice Capital Murder,"death, commuted to life with parole (1966) death(1993)",Death Sentence,
Robert Joseph Silveria Jr.,"The Boxcar Killer, Sidetrack",,1959-03-03,,,,,,1996-03-02,37,,life imprisonment,Life Imprisonment,Pisces
Dr. No,"Ohio Prostitute Killer, I-71 Killer",,,,,,,,,,,,,
Richard Biegenwald,The Thrill Killer,,,,,,2008-03-10,,1983-01-22,,"First Degree Murder, Murder","death, overturned and re-sentenced to life imprisonment",Death Sentence,
New Bedford Highway Killer,,,,,,,,,,,,,,
Alexander Bychkov,Belinsky Cannibal;Rambo,,1988-04-01,"RSFSR, Soviet Union",Soviet Union,Europe,,,2012-01-01,23,"Murder, Burglary, Cannibalism",life imprisonment,Life Imprisonment,Aries
Edgecombe County Serial Killer,The Seven Bridges Killer,,,,,,,,,,Murder Pittman,life imprisonment (Pittman),Life Imprisonment,
Sergei Martynov,,,1962-06-02,"Nyazepetrovsk, Chelyabinsk Oblast, Soviet Union",Soviet Union,Europe,,,2010-11-18,48,Murder Rape,life imprisonment,Life Imprisonment,Gemini
Lloyd Gomez,"Harry Jenks, The Phantom Hobo Killer, The Hobo Jungle Killer",29.0,1923-12-06,,,,1953-10-16,,1952-01-15,28,First Degree Murder,death,Death Sentence,Sagittarius
Timothy Krajcir,,,1944-11-28,,,,,,2007-08-29,62,"Murder, Rape",13 consecutive life terms,Life Imprisonment,Sagittarius
Anatoly Utkin,The Ulyanovsky Maniac,,,"Ulyanovsk, Ulyanovsk Oblast, RSFSR",RSFSR,Europe,,RSFSR,1973-02-09,,"Attempted Murder Murder, Robbery",death,Death Sentence,
Gilberto Chamba,The Monster of Machala,,,"Machala, El Oro Province, Ecuador",Ecuador,,,,,,Murder,45 years in prison,Years Imprisonment,
Ondrej Rigo,"The International killer, The Sock killer",66.0,1955-12-17,"Modra, Czechoslovakia",Czechoslovakia,Europe,2022-06-14,"Trenn, Slovakia",1992-03-01,36,Murder,"life imprisonment (served in Leopoldov, Slovakia)",Life Imprisonment,Sagittarius
Alfred Gaynor,,,1966-12-10,,,,,,1998-04-10,31,Murder,life imprisonment without parole,Life Imprisonment,Sagittarius
Mark Goudeau,"The Baseline Killer, The Baseline Rapist",,1964-09-06,,,,,,2006-09-04,42,"First Degree Murder Attempted First Degree Murder, Kidnapping Attempted Kidnapping, Sexual Assault Attempted Sexual Assault Sexual Abuse Aggravated Assault Armed Robbery Attempted Armed Robbery First Degree Burglary",death,Death Sentence,Virgo
Keith Hunter Jesperson,,,1955-04-06,"Chilliwack, British Columbia, Canada",Canada,North America,,,1995-03-30,40,,life imprisonment (without parole),Life Imprisonment,Aries
Rodney Alcala,"Dating Game Killer, John Berger",77.0,1943-08-23,,,,2021-07-10,,1979-07-24,35,"Battery, Kidnapping, Murder, Probation Violation, Rape, Providing Cannabis To A Minor",,,Virgo
Ottis Toole,,49.0,1947-03-05,,,,1996-09-15,,1983-06-15,36,"First-Degree Murder, Arson","Two death sentences plus four life sentence(s), commuted to six life sentence(s) without the possibility of parole (murder convictions) 20 years in prison (arson conviction)",Death Sentence,Pisces
Kiyotaka Katsuta,Kiyotaka Fujiwara,52.0,1948-08-29,"Kizugawa, Kyoto, Occupied Japan",Occupied Japan,Asia,2000-11-30,"ku, Nagoya, Japan",1983-01-31,34,Murder,death,Death Sentence,Virgo
Joseph Paul Franklin,The Racist Killer,63.0,1950-04-13,,,,2013-11-20,,1980-10-28,30,,"life imprisonment x4 (March 23, 1981 & September 1986), death(July 17, 1984 & February 27, 1997)",Death Sentence,Aries
Pierre Chanal,,56.0,1946-11-18,"tienne, France",France,Europe,2003-10-15,"Reims, France",1988-08-09,41,Kidnapping And Rape,,,Scorpio
Christopher Wilder,"The Beauty Queen Killer, The Snapshot Killer",39.0,1945-03-13,"Sydney, New South Wales, Australia",Australia,Oceania,1984-04-13,,1984-04-13,39,,,,Pisces
Axeman Of New Orleans,,,,,,,,,,,,,,
Vladimir Retunsky,"The Povorino Maniac, The Chikatilo of Khopyor River, The Voronezh Chikatilo",,1950-02-04,"Povorino, Voronezh Oblast, RSFSR",RSFSR,Europe,,,1997-02-01,47,Murder,"death, commuted to 15 years imprisonment and released in 2012",Death Sentence,Aquarius
Gilbert Paul Jordan,"The Boozing Barber, Paul Pearce, Gilbert Paul Elsie",,,"Vancouver, British Columbia, Canada",Canada,North America,2006-07-07,"Victoria, British Columbia, Canada",,,Manslaughter,"15 years imprisonment, commuted to 9 years imprisonment",Years Imprisonment,
Frankford Slasher,,,,,,,,,1990-05-05,,,Life (Leonard Christopher),Life Imprisonment,
Kendall Francois,"The Poughkeepsie Killer, Stinky",43.0,1971-07-26,,,,2014-09-11,,1998-09-02,27,First Degree Murder,life imprisonment without parole,Life Imprisonment,Leo
Hilda Nilsson,,,,"Helsingborg, Sweden",Sweden,Europe,1917-08-10,"Landskrona, Sweden",,,Murder,death,Death Sentence,
Yoshio Kodaira,,44.0,1905-01-28,"Tochigi, Tochigi Prefecture, Empire of Japan",Empire of Japan,Asia,1949-10-05,"Miyagi Prison, Sendai, Occupied Japan",1946-08-20,41,Murder,death,Death Sentence,Aquarius
John Christie,"The Rillington Place Strangler, The Monster of Rillington Place",54.0,1899-04-08,"Northowram, West Riding of Yorkshire, England, UK",UK,Europe,1953-07-15,"HM Prison Pentonville, London, England, UK",1953-03-31,54,Murder,death,Death Sentence,Aries
Eric Edgar Cooke,"The Night Caller, The Nedls Monster",33.0,1931-02-25,"Perth, Western Australia, Australia",Australia,Oceania,1964-10-26,"Fremantle Prison, Fremantle, Western Australia, Australia",1963-09-01,32,Wilful Murder,death,Death Sentence,Pisces
John Edward Robinson,,,1943-12-27,,,,,,2000-06-02,56,"Kansas, Capital Murder Missouri, First Degree Murder",KansasdeathMissouriLife without parole,Death Sentence,Capricorn
Bruce Mcarthur,,,1951-10-08,"Lindsay, Ontario, Canada",Canada,North America,,,2018-01-18,66,"First-Degree Murder January ,   --",life imprisonment,Life Imprisonment,Libra
Paul Ogorzow,The S-Bahn Murderer,28.0,1912-09-29,"Muntowen, East Prussia, Imperial Germany",Imperial Germany,Europe,1941-07-26,"Pltzensee Prison, Berlin, Nazi Germany",1941-07-12,28,Murder Attempted Murder Assault,death,Death Sentence,Libra
Genzo Kurita,,32.0,1926-11-03,"Ogachi District, Akita, Empire of Japan",Empire of Japan,Asia,1959-10-14,"Miyagi Prison, Sendai, Japan",1952-01-16,25,Murder,death,Death Sentence,Scorpio
Marie Noe,,87.0,1928-08-23,,,,2016-05-05,,1998-01-01,69,Second Degree Murder,20 years probation,Years Imprisonment,Virgo
Kiyoshi Okubo,"Gunma,s Stalin",41.0,1935-01-17,"Gunma, Japan",Japan,Asia,1976-01-22,"Tokyo Detention House, Tokyo, Japan",1971-05-14,36,,death,Death Sentence,Capricorn
Marybeth Tinning,,,1942-09-11,,,,,,,,"Second-Degree Murder, July,",20 years to life,Life Imprisonment,Virgo
Michael Bruce Ross,"The Roadside Strangler, The Egg Man",45.0,1959-07-26,,,,2005-05-13,,1984-06-29,24,"Connecticut, Capital Felony New York, First Degree Manslaughter",ConnecticutdeathNew York8 and 1/3 to 25 years imprisonment,Death Sentence,Leo
Gary C. Evans,,43.0,1954-10-07,,,,1998-08-14,,1998-05-27,43,,None (died before trial),Suicide or Died Before Sentence,Libra
Colonial Parkway Killer,,,,,,,,,,,,,,
Sean Vincent Gillis,The Other Baton Rouge Killer,,1962-06-24,,,,,,2004-04-29,41,"First Degree Murder,Second Degree Murder","Life without the possibility of parole, probation or suspension of sentence",Life Imprisonment,Cancer
Vladimir Mukhankin,"The Pupil of Chikatilo, Lenin",,1960-04-22,"Zernogradsky District, Rostov Oblast, RSFSR, Soviet Union",Soviet Union,Europe,,,,,"Murder With Aggravating Circumstances, Attempted Murder","death, commuted to life imprisonment",Death Sentence,Taurus
Manuel Delgado Villegas,"El Arropiero, El Estrangulador del Puerto",,,"Seville, Andalusia, Spain",Spain,,,"Badalona, Catalonia, Spain",1971-01-18,,Life Sentence,Interned in a mental institution for life,Life Imprisonment,
Ershad Sikder,"Ranga chora, (White theft)",,,,,,2004-05-10,"Khulna District Jail, Bangladesh",1999-01-01,,"Murder Robbery, Extortion, Theft",deathplus four life sentence(s),Death Sentence,
Diego Alexánder Ruiz Restrepo,Psychopath of Meiggs,,1990-03-14,"Cali, Colombia",Colombia,South America,,,2020-11-09,30,,life imprisonment with a possibility of parole after 40 years,Life Imprisonment,Pisces
Ivan Milat,"The Backpacker Killer, The Backpacker Murderer",74.0,1944-12-27,"Guildford, New South Wales, Australia",Australia,Oceania,2019-10-27,"Long Bay Correctional CentreMatraville, New South Wales, Australia",1994-05-22,49,"Murder Attempted Murder, False Imprisonment Robbery",7 life sentence(s) without parole (murder)6 years imprisonment (attempted murder)6 years imprisonment (false imprisonment)6 years imprisonment (robbery),Life Imprisonment,Capricorn
Reta Mays,,,1975-06-16,,,,,,2020-07-14,45,Second Degree Murder U.S.C. § Assault With Intent To Commit Murder U.S.C. §,7 life terms plus 20 years,Life Imprisonment,Gemini
Michael Wayne Mcgray,,,1965-07-11,"Collingwood, Ontario Canada",Ontario Canada,North America,,,,,Murder,life imprisonment,Life Imprisonment,Cancer
Łódź Gay Murderer,,,,,,,,,,,,,,
John Floyd Thomas Jr.,"The Westside Rapist, The SouthlStrangler, Willie Eugene Wilson",,1936-07-26,,,,,,2009-03-31,72,,Seven consecutive life sentence(s) without the possibility of parole,Life Imprisonment,Leo
Kenneth Erskine,The Stockwell Strangler,,1963-07-01,"Hammersmith, London, England",England,Europe,,,1986-07-28,23,,Detention at Broadmoor Hospital but moved to Thornford Park Hospital,Hospital Detention,Cancer
David Carpenter,The Trailside Killer,,1930-05-06,,,,,,1981-05-14,51,"Attempted Murder, Attempted Rape, Kidnapping, Murder, Rape, Robbery",death,Death Sentence,Taurus
Vladimir Kuzmin,Syosvoski,,1965-09-14,"Moscow, RSFSR",RSFSR,Europe,,,,,"Murder, Manslaughter",life imprisonment,Life Imprisonment,Virgo
Tommy Recco,"Tommy, Geronimo",,1934-05-10,"Propriano, Corsica, France",France,Europe,,,,,Murder,life imprisonment,Life Imprisonment,Taurus
Derrick Todd Lee,The Baton Rouge Serial Killer,47.0,1968-11-05,,,,2016-01-21,,2003-05-27,34,"Assault, Burglary, Murder, Stalking, Trespassing, Voyeurism",death,Death Sentence,Scorpio
Tomás Maldonado Cera,The Satanist,,,"Barranquilla, Atlntico Department, Colombia",Colombia,South America,,,,,Murder,,,
