Name,Killer Type,Country,Country Sorted,Continent,Start Year,End Year,Median Year,Years Active,Decade,Total Victims (Unproven + Proven),Unproven Possible Victims,Proven Victims,Notes
Nikolay Shubin,Male,Russia,Russia,Europe,2004,2006,2005,2,2000s,13,0,13,Paranoid schizophrenic who killed people who beat him in chess games; sentenced to compulsory treatment.
Thozamile Taki,Male,South Africa,South Africa,Africa,2007,2016,2011,9,2010s,13,0,13,"Known as the ""Sugar cane serial killer"", he murdered 13 women. Convicted in 2010."
"""Rainbow Maniac""",Male,Brazil,Brazil,South America,2007,2008,2007,1,2000s,13,0,13,"Unidentified serial killer who shot gay men in the head (except one, who was bludgeoned) in the Paturis Park of Carapicuiba."
Li Wenxiang,Male,China,China,Asia,1991,1996,1993,5,1990s,13,0,13,"Known as ""The Guangzhou Ripper"". Killed 13 female sex workers in Guangzhou. Executed."
Adolf Seefeldt,Male,Germany,Germany,Europe,1908,1935,1921,27,1920s,100,88,12,"Known as the ""Sandman""; sexually abused young boys in their sleep, then poisoned them; suspected of 100 murders in total. Executed by guillotine in 1936."
José Manuel Martínez,Male,United States,United States,North America,1978,2013,1995,35,1990s,36,24,12,"Mexican-American self-confessed hitman who admitted to committing 36 murders in twelve different states, sometimes on the orders of his cartel bosses and sometimes out of personal animosity. Ultimately convicted or pleaded guilty to a total of twelve murders in three different states."
Charles Sobhraj,Male,"Thailand, Nepal, India, Malaysia",Multiple Countries,Asia,1975,1976,1975,1,1970s,30,18,12,"French con man known as ""The Bikini Killer"" or ""The Serpent"" that targeted Western tourists in vacation spots of South-east Asia, often with the help of female accomplices. Imprisoned in India from 1976 to 1997, and sentenced to life imprisonment in Nepal in 2004. He was released from prison in Nepal in 2022."
Slamet Tohari,Male,Indonesia,Indonesia,Asia,2020,2023,2021,3,2020s,24,12,12,"Swindler who was convicted of 12 murders by cyanide poisoning committed in Central Java between 2020 and 2023. He confessed to ""dozens"" of murders. Sentenced to death in 2024."
Vladimir Romanov,Male,"Soviet Union, Russia",Multiple Countries,Multiple continents,1991,2005,1998,14,1990s,20,8,12,"Known as the ""Kaliningrad Maniac""; a child rapist who murdered girls and young women in the Kaliningrad Oblast; killed himself while imprisoned."
Maury Travis,Male,United States,United States,North America,2000,2002,2001,2,2000s,17,5,12,Killed sex workers in the St. Louis area from 2000 to 2002. Caught when he mailed an Expedia.com map showing where to find a body to a St. Louis newspaper. Killed himself by hanging in prison.
Dennis Nilsen,Male,United Kingdom,United Kingdom,Europe,1978,1983,1980,5,1980s,15,3,12,"Picked up young men in London between 1978 and 1983 and dismembered them, keeping various body parts around his home. Died from surgical complications in 2018."
Kenneth Bianchi,Male,United States,United States,North America,1977,1978,1977,1,1970s,15,3,12,"Convicted of strangling 12 female victims aged 12 to 28 and suspected in another three cases. One of the ""Hillside Stranglers"". Sentenced to imprisonment for life."
Enriqueta Martí,Female,Spain,Spain,Europe,,1912,,,<NA>s,12,0,12,"Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow inmates while awaiting trial in 1913. Recent investigations by writer Jordi Corominas and historian Elsa Plaza question the popular version of the black legend of Enriqueta Martí and warned about multiples misinformation, because Enriqueta ""was never formally charged with murder nor was any corpse of a child found in her home."""
Abdallah al-Hubal,Male,Yemen,Yemen,Asia,1990,1998,1994,8,1990s,12,0,12,"Killed seven people after Yemeni unification; fled prison, then proceeded to kill a young couple and three more people; killed during a shootout with police."
Nikolai Shestakov,Male,Soviet Union,Soviet Union,Multiple continents,1975,1984,1979,9,1970s,12,0,12,"Known as the ""Luberetsky Maniac""; truck driver who raped and killed girls and young women; supposedly executed in 1977."
Joseph Christopher,Male,United States,United States,North America,1980,1981,1980,1,1980s,12,0,12,"Known as ""The Midtown Slasher""; racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating two of them. Sentenced to life imprisonment, died in prison age 33 of breast cancer."
"""Paraquat murders"" killer",Male,Japan,Japan,Asia,1985,1994,1989,9,1980s,12,0,12,Unidentified serial killer who carried out a series of indiscriminate poisonings in Japan in 1985 that killed 12.
Siswanto,Male,Indonesia,Indonesia,Asia,1994,1996,1995,2,1990s,12,0,12,"Alias Robot Gedek. Homeless man that killed 12 boys. Sentenced to death on May 21, 1997. Died in prison on March 26, 2007."
Sergey Golovkin,Male,"Soviet Union, Russia",Multiple Countries,Multiple continents,1986,1992,1989,6,1980s,40,29,11,Killed at least 11 boys in the Moscow area between 1986 and 1992. Executed by gunshot in 1996; last person executed in Russia before the death penalty was abolished.
Tiago Henrique Gomes da Rocha,Male,Brazil,Brazil,South America,2011,2014,2012,3,2010s,39,28,11,"Gomes da Rocha was a Brazilian security guard who confessed to the murders of 39 people. He was sentenced to 25 years in prison for 11 murders, and attempted suicide while incarcerated."
Herb Baumeister,Male,United States,United States,North America,1990,1996,1993,6,1990s,23,12,11,Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only five were identified. Died after shooting himself when faced with arrest.
Zhang Yongming,Male,China,China,Asia,2008,2012,2010,4,2010s,18,7,11,Sold flesh of his victims as 'ostrich meat' and kept eyeballs in wine. Executed.
Jack Unterweger,Male,"Austria, United States, Czechoslovakia",Multiple Countries,Europe,1974,1992,1983,18,1980s,15,4,11,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine sex workers after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three sex workers. Hanged himself in 1994 after being sentenced to life in prison."
Vaughn Greenwood,Male,United States,United States,North America,1964,1975,1969,11,1960s,13,2,11,"Known as the ""Skid Row Slasher"". Killed 11 people, suspected of two more. Cut victims' throats from ear to ear and may have drunk their blood. Sentenced to imprisonment for life."
Anthony Sowell,Male,United States,United States,North America,2007,2009,2008,2,2000s,11,0,11,"Known as The Cleveland Strangler, he was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison. Sentenced to death."
Henri Désiré Landru,Male,France,France,Europe,1915,1919,1917,4,1910s,11,0,11,"Nicknamed ""Bluebeard"", he put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least 10 women and the teenage son of one of them, and burned their bodies after he had gained access to their assets. Executed by guillotine in 1922."
Nannie Doss,Male,United States,United States,North America,1927,1954,1940,27,1940s,11,0,11,"Responsible for 11 deaths between 1927 and 1954. Known as the ""Giggling Nanny"", the ""Giggling Granny"", and the ""Jolly Black Widow"". Sentenced to imprisonment for life. Died of leukemia in 1965, age 59."
Marie Alexandrine Becker,Female,Belgium,Belgium,Europe,1933,1936,1934,3,1930s,11,0,11,Poisoned wealthy clients while working as a seamstress. Died in prison in 1942.
Seisaku Nakamura,Male,Japan,Japan,Asia,1938,1942,1940,4,1940s,11,0,11,"Teenage serial killer known as the ""Hamamatsu Deaf Killer"" for having been born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed by hanging."
Robledo Puch,Male,Argentina,Argentina,South America,1971,1980,1975,9,1970s,11,0,11,Convicted of 11 murders and multiple other crimes including attempted murder and sexual assault. Sentenced to life imprisonment in 1980.
Clifford Olson,Male,Canada,Canada,North America,1980,1981,1980,1,1980s,11,0,11,"Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected. Died from cancer in 2011."
Francisco García Escalero,Male,Spain,Spain,Europe,1987,1994,1990,7,1990s,11,0,11,"Known as ""The Killer Beggar"". A necrophilic, schizophrenic homeless man found insane and confined to a psychiatric hospital after killing 11 sex workers and other homeless people between 1987 and 1994. Died in 2014."
Henry Louis Wallace,Male,United States,United States,North America,1990,1994,1992,4,1990s,11,0,11,"Murdered 11 black women in Charlotte, North Carolina. The victims were all women that he knew."
Benjamin Atkins,Male,United States,United States,North America,1991,1992,1991,1,1990s,11,0,11,"Known as ""The Woodward Corridor Killer"". Raped and strangled his victims before abandoning their bodies in vacant buildings. Died in prison in 1997, age 29, from AIDS."
Adnan Çolak,Male,Turkey,Turkey,Asia,1992,1995,1993,3,1990s,11,0,11,Killed 11 elderly women aged 68 to 95 and raped six others. Sentenced to death but commuted to life in prison after Turkey abolished the death penalty in 2004.
Andre Crawford,Male,United States,United States,North America,1993,1999,1996,6,1990s,11,0,11,Murdered 11 women between 1993 and 1999. Sentenced to life in prison.
Francisco de Assis Pereira,Male,Brazil,Brazil,South America,1997,1998,1997,1,1990s,11,0,11,"Rapist and serial killer, known as ""O Maníaco do Parque"" (The Park Maniac). He was arrested for the torture, rape and death of 11 women and for assaulting nine in a park in São Paulo, Brazil during the 1990s. Pereira found his victims by posing as a talent scout for a modeling agency. Sentenced to 268 years."
Barnaul Maniac,Male,Russia,Russia,Europe,1997,2000,1998,3,1990s,11,0,11,The Barnaul Maniac was an unidentified Russian serial killer who murdered nine women and two girls in the city of Barnaul and the village of Buranovo. The main suspect was arrested in October 2000 but killed himself in jail in November that year.
Gao Chengyong,Male,China,China,Asia,1998,2002,2000,4,2000s,11,0,11,"Known as ""Chinese Jack the Ripper""; killed women and then mutilated their corpses. Executed in 2019."
Yevgeny Petrov,Male,Russia,Russia,Europe,1998,2003,2000,5,2000s,11,0,11,"Known as the ""Novouralsk Ripper""; a child rapist who kidnapped and killed young girls around Novouralsk, mutilating and burning their corpses afterwards; sentenced to life imprisonment."
Ruslan Khamarov,Male,Ukraine,Ukraine,Europe,2000,2003,2001,3,2000s,11,0,11,"Seduced, raped and then killed women in his home; sentenced to life imprisonment."
West Mesa Killer,Male,United States,United States,North America,2003,2005,2004,2,2000s,11,0,11,"Remains of 11 women, who disappeared between 2003 and 2005, were found buried in the desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector."
Very Idham Henyansyah,Male,Indonesia,Indonesia,Asia,2006,2008,2007,2,2000s,11,0,11,"Known as the ""singing serial killer"" and ""Ryan"", the artistic name he adopted while awaiting his execution in prison, where he recorded an album and wrote his autobiography. ""Ryan"" confessed to murdering 11 people including a toddler; 10 of his victims were buried in his parents' home backyard while the last one was butchered and hidden in a suitcase. Sentenced to death."
Roshu Kha,Male,Bangladesh,Bangladesh,Asia,2008,2017,2012,9,2010s,11,0,11,Raped and murdered garment workers after being rejected by his lover. Sentenced to death.
Martin Lecián,Male,Czechoslovakia,Czechoslovakia,Europe,1927,1936,1931,9,1930s,11,0,11,Responsible for killing 10 policemen and 1 prison officer. Executed in 1927.
Lonnie David Franklin Jr.,Male,United States,United States,North America,1985,2007,1996,22,1990s,25,15,10,"Known as the ""Grim Sleeper"" for the alleged 14-year hiatus he took from murdering between 1988 and 2002. Shot and strangled his victims, mostly women, around South Los Angeles. Sentenced to death. On March 28, 2020, Franklin was found dead in his cell."
Rudolf Pleil,Male,West Germany,West Germany,Europe,1946,1947,1946,1,1940s,25,15,10,"Known as Der Totmacher (""The Deadmaker""). Convicted of killing a salesman and nine women. Claimed to have killed 25. Killed himself by hanging in 1958."
Milton Johnson,Male,United States,United States,North America,1983,1992,1987,9,1980s,17,7,10,"Known as ""The Weekend Murderer"" killed up to 17 people. Sentenced to life without parole."
Long Island serial killer,Unidentified,United States,United States,North America,1996,2010,2003,14,2000s,16,6,10,"Unidentified serial killer also known as ""The Gilgo Beach Killer"". Believed to have murdered 10 to 14 people associated with the sex trade over a period of 15 years."
Daniel Lee Siebert,Male,United States,United States,North America,1979,1986,1982,7,1980s,13,3,10,Convicted of a 1979 manslaughter; killed 10 people across America in three months in mid-1980s including two children and a Southside Slayer victim. Sentenced to death; died from cancer in prison in 2008.
Sergey Cherny,Male,Russia,Russia,Europe,1999,2008,2003,9,2000s,11,1,10,Strangled women around Smolensk; suspected of the drowning death of another woman; died in 2001 from pneumonia while in a special psychiatric hospital.
Jeanne Weber,Female,France,France,Europe,1905,1908,1906,3,1900s,10,0,10,Transient baby-sitter who strangled children in her care. Declared insane. Hanged herself in prison in 1918.
Nikolai Dzhumagaliev,Male,Soviet Union,Soviet Union,Multiple continents,1979,1991,1985,12,1980s,10,0,10,Lured women in a park at night and hacked them with an axe as part of a plan to rid the world of prostitution. Also cooked parts of his victims and ate them himself or served them to other people as part of ethnic dishes. Found innocent by reason of insanity and interned in a mental institution.
Bobby Joe Long,Male,United States,United States,North America,1984,1993,1988,9,1980s,10,0,10,"Known as ""The Classified Ad Rapist""; killed 10 women in Tampa Bay, Florida in 1984. Sentenced to death. Executed by lethal injection on 23 May 2019."
Stewart Wilken,Male,South Africa,South Africa,Africa,1990,1997,1993,7,1990s,10,0,10,"Known as ""Boetie Boer""; raped, sodomised and murdered 10 victims from 1990 to 1997. Sentenced to seven life terms."
Viktor Fokin,Male,Russia,Russia,Europe,1996,2000,1998,4,1990s,10,0,10,"Known as the ""Grandfather Ripper""; pensioner who lured, killed and then dismembered sex workers and alcohol abusers in his home, disposing of the remains in garbage containers after; died while imprisoned at a corrective labor colony."
David Randitsheni,Male,South Africa,South Africa,Africa,2004,2008,2006,4,2000s,10,0,10,"Kidnapped 19 people, raped 17, and murdered 10. Sentenced to 16 consecutive life sentences plus 220 years in prison; hanged himself three weeks after conviction."
Edmund Kemper,Male,United States,United States,North America,1964,1973,1968,9,1960s,10,0,10,"Known as ""The Co-ed Butcher."" At age 15, he confessed to murdering his grandparents and served six years as a criminally insane juvenile. He was released in 1969. In 1972 and 1973, he murdered and dismembered six young women, then killed his mother and her friend. He was sentenced to eight counts of seven years to life."
Dennis Rader,Male,United States,United States,North America,1974,2004,1989,30,1980s,10,0,10,"Known as the BTK Killer. Murdered 10 people in Sedgwick County (in and around Wichita), Kansas, between 1974 and 1991. Sentenced to life imprisonment with no parole for 175 years."
Stanislav Rogolev,Male,Soviet Union,Soviet Union,Multiple continents,1980,1982,1981,2,1980s,10,0,10,"Known as ""Agent 000""; killed and raped women, managing to avoid capture through suspected knowledge of the investigation against him; executed by firing squad in 1984."
Oleg Kuznetsov,Male,"Soviet Union, Russia, Ukraine",Multiple Countries,Multiple continents,1991,1992,1991,1,1990s,10,0,10,"Robbed, raped and killed people around Russia and Ukraine; sentenced to death but commuted to life imprisonment."
Satish,Male,India,India,Asia,1995,1998,1996,3,1990s,10,0,10,"Killed 10 girls who were between the ages of five and nine. He was arrested from Bahadurgargh, Haryana after a long chase by Haryana police."
Eduard Shemyakov,Male,Russia,Russia,Europe,1996,1998,1997,2,1990s,10,0,10,"Known as the ""Resort Maniac""; Ukrainian who raped, killed and dismembered women in St. Petersburg, supposedly cannibalizing one of the victims; sentenced to compulsory treatment."
Ali Kaya,Male,Turkey,Turkey,Asia,1997,2006,2001,9,2000s,10,0,10,"Known as ""The Baby Faced Killer""; responsible for 10 murders. Escaped from prison and later recaptured."
Chen Yongfeng,Male,China,China,Asia,2003,2012,2007,9,2000s,10,0,10,"Known as ""The Butcher""; killed and dismembered 10 people at his house in the city of Wenzhou in the Zhejiang province within the span of a few months."
Zhou Kehua,Male,China,China,Asia,2004,2012,2008,8,2000s,10,0,10,"A former soldier who targeted ATM users. He killed 10 people and evaded the law for eight years, before being shot in a shootout with police after a year-long manhunt."
Kang Ho-sun,Male,South Korea,South Korea,Asia,2006,2008,2007,2,2000s,10,0,10,"Sentenced to death in 2010 for killing 10 women, including his wife and mother-in-law."
Masten Wanjala,Male,Kenya,Kenya,Africa,2015,2021,2018,6,2010s,10,0,10,"Described as a ""bloodthirsty vampire""; confessed to killing and drinking the blood of multiple children in Nairobi and led police to the bodies of some of the victims. Wanjala escaped from police custody while awaiting trial, but was later found in Bungoma County and murdered by angry locals."
Louis van Schoor,Male,South Africa,South Africa,Africa,1986,1989,1987,3,1980s,100,91,9,"Former security guard who was convicted of seven murders and two assassinations, but confessed to a reporter that he murdered 100 people; sentenced to 20 years in prison and released on parole in 2004."
Peter Kürten,Male,"German Empire, Germany",Multiple Countries,Europe,1913,1930,1921,17,1920s,79,70,9,"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Düsseldorf"" by the contemporary media. Executed by guillotine in 1931."
Roger Dale Stafford,Male,United States,United States,North America,1974,1978,1976,4,1970s,34,25,9,"Killed nine people in two states, including a family of three; his wife implicated him in 34 total murders in different states; executed by lethal injection in 1995."
Norman Afzal Simons,Male,South Africa,South Africa,Africa,1986,1994,1990,8,1990s,22,13,9,"Known as the ""Station Strangler"", convicted of only one of 22 cases of murder and sodomy of young children near Cape Town. Sentenced to imprisonment for life."
Francis Heaulme,Male,France,France,Europe,1984,1992,1988,8,1980s,20,11,9,"Convicted of killing nine people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went."
Joel Rifkin,Male,United States,United States,North America,1989,1993,1991,4,1990s,17,8,9,"Known as ""The Drifter"", killed sex workers in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer. Sentenced to 203 years to imprisonment for life."
Dagmar Overbye,Male,Denmark,Denmark,Europe,1913,1920,1916,7,1910s,15,6,9,"Murdered between nine and 25 children—of which one was her own—during a seven-year period. In 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commuted to life in prison. Overbye was working as a professional child minder, caring for babies born outside of marriage, murdering her charges. She strangled them, drowned them or burned them to death in her masonry heater. The corpses were either cremated, buried or hidden in the loft. Died in prison in 1929."
Kenneth McDuff,Male,United States,United States,North America,1966,1992,1979,26,1970s,14,5,9,"Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder was commuted. Killed again three days after 1989 parole and 10 further times in Waco, Texas until 1992. Executed by lethal injection in 1998."
Robert Joseph Silveria Jr.,Male,United States,United States,North America,1981,1996,1988,15,1980s,14,5,9,"Known as ""The Boxcar Killer""; freight train rider convicted of beating to death fellow transients and confessed to dozens more."
Dr. No,Male,United States,United States,North America,1981,1990,1985,9,1980s,12,3,9,"Supposedly murdered sex workers and exotic dancers; his first victim was Marcia King, who was identified in 2018."
Richard Biegenwald,Male,United States,United States,North America,1958,1983,1970,25,1970s,11,2,9,"Known as ""The Thrill Killer"". Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders. Died of respiratory and kidney failure in 2008."
New Bedford Highway Killer,Male,United States,United States,North America,1988,1989,1988,1,1980s,11,2,9,Unidentified serial killer who killed nine women and disappearance of two others between 1988 and 1989.
Alexander Bychkov,Male,Russia,Russia,Europe,2009,2012,2010,3,2010s,11,2,9,Described in his personal diary how he killed 11 men who were alcoholics and tramps. Confessed to eating body parts of his victims. Found guilty of nine murders and sentenced to life imprisonment.
Maryvale serial shooter,Male,United States,United States,North America,2015,2016,2015,1,2010s,11,2,9,"Motorist who shot 12 people in separate events in Phoenix, Arizona, killing nine. Aaron Saucedo was charged with the shootings and two additional murders in 2017."
Edgecombe County Serial Killer,Unidentified,United States,United States,North America,2000,,,,<NA>s,10,1,9,"Unidentified serial killer who killed nine women and possibly another who disappeared since 2005 around Rocky Mount, North Carolina. Antwan Pittman was convicted in one case."
Sergei Martynov,Male,Russia,Russia,Europe,1992,2010,2001,18,2000s,9,0,9,Convicted of raping and murdering a woman in 1992. Sentenced to life imprisonment for killing eight more women during a violent crime spree between 2005 and 2010.
Lloyd Gomez,Male,United States,United States,North America,1950,1951,1950,1,1950s,9,0,9,"Known as ""The Phantom Hobo Killer""; homeless man who killed other homeless men across California in the early 1950s."
Timothy Krajcir,Male,United States,United States,North America,2000,,,,<NA>s,9,0,9,"Killed nine women across Pennsylvania, Illinois, Kentucky and Missouri (five in Cape Girardeau) in the 1970s and 1980s."
Anatoly Utkin,Male,Soviet Union,Soviet Union,Multiple continents,1968,1973,1970,5,1970s,9,0,9,"Known as ""Ulyanovsky maniac""; killed 8 girls and 1 man from 1968 to 1973; executed 1975."
Gilberto Chamba,Male,"Ecuador, Spain",Multiple Countries,South America,1988,2004,1996,16,1990s,9,0,9,"Taxi driver known as ""The Monster of Machala"", between 1988 and 1993 abducted 10 of his passengers (all lone female students) in this Ecuadorian city and killed 8, often raping them after with a stick. Though sentenced to 16 years in prison, he benefitted from an amnesty campaign in 2000 that also cleared his criminal record and moved to Spain, where he was arrested for the rape and murder of another student and the attempted rape and murder of a prostitute in 2004. Sentenced in 2005 to 45 years in prison."
Ondrej Rigo,Male,"Czechoslovakia, Germany, Netherlands",Multiple Countries,Europe,1990,1992,1991,2,1990s,9,0,9,"Slovak serial killer and necrophile who committed his murders during the early 1990s in Slovakia, Germany and the Netherlands. He was arrested in 1992 and received a life sentence in 1994. He remains the murderer with the biggest number of victims in the modern history of Slovakia."
Alfred Gaynor,Male,United States,United States,North America,1995,1998,1996,3,1990s,9,0,9,"Crack cocaine addict. Killed nine women in Massachusetts. Sentenced to life in prison on May 19, 2000."
Mark Goudeau,Male,United States,United States,North America,2005,2006,2005,1,2000s,9,0,9,"Known as ""The Baseline Killer""; convicted of nine murders in Phoenix, Arizona."
Keith Hunter Jesperson,Male,United States,United States,North America,1990,1995,1992,5,1990s,160,152,8,"Dubbed the ""Happy Face Killer"", Jesperson was convicted of killing eight women by strangulation."
Rodney Alcala,Male,United States,United States,North America,1971,1979,1975,8,1970s,130,122,8,"Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher."
Ottis Toole,Male,United States,United States,North America,1980,1983,1981,3,1980s,112,104,8,"Initially convicted of three counts of murder, later pleaded guilty to four more murders before dying in prison. A sometime accomplice of convicted serial killer Henry Lee Lucas, Toole admitted to—and retracted multiple times—over 100 counts of murder, rape, arson and cannibalism, and was suspected in several other unsolved murders. In 2008, police announced that they had identified Toole as the likely murderer of Adam Walsh, and would be closing the case as a result."
Kiyotaka Katsuta,Male,Japan,Japan,Asia,1982,1983,1982,1,1980s,22,14,8,"Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000."
Joseph Paul Franklin,Male,United States,United States,North America,1977,1980,1978,3,1970s,20,12,8,White supremacist shooter who confessed to 20 murders and several attempted murders. Executed by lethal injection in 2013.
Pierre Chanal,Male,France,France,Europe,1980,1988,1984,8,1980s,17,9,8,Military instructor suspected of killing boys and men in Marne; killed himself before trial.
Christopher Wilder,Male,United States,United States,North America,1984,1993,1988,9,1980s,13,5,8,Killed eight women during a spree before accidentally shooting himself; suspected in the disappearance and murder of more than five more.
Axeman of New Orleans,Unidentified,United States,United States,North America,1918,1919,1918,1,1910s,12,4,8,Unidentified serial killer of at least eight people in the New Orleans area from May 1918 to October 1919.
Vladimir Retunsky,Male,Russia,Russia,Europe,1990,1996,1993,6,1990s,12,4,8,"Known as the ""Povorinsky Maniac""; kidnapped, raped and killed hitchhikers in his hometown of Povorino, possibly abusing their corpses; initially sentenced to death, but later reduced to 15 years imprisonment and released in 2015."
Gilbert Paul Jordan,Male,Canada,Canada,North America,1965,1987,1976,22,1970s,10,2,8,"Known as the ""Boozing Barber"", he would typically find alcoholic women in bars in Vancouver's destitute Downtown Eastside, buy them drinks or pay them for sex and encourage them to drink with him. When they passed out, he would pour more liquor down their throats. The resulting deaths were reported as alcohol poisoning and generally ignored by police as the intentional murders blended in with the common occurrence in that neighbourhood. Died in 2006."
Frankford Slasher,Male,United States,United States,North America,1985,1990,1987,5,1980s,9,1,8,"Allegedly responsible for nine murders in the Frankford neighborhood of Philadelphia, Pennsylvania; Leonard Christopher was convicted of one murder; another murder was committed in same style while he was incarcerated; believed to still be at large."
Kendall Francois,Male,United States,United States,North America,1996,1998,1997,2,1990s,9,1,8,"Admitted to killing eight sex workers in Poughkeepsie, New York, but denied involvement with the disappearance of a ninth prostitute."
Hilda Nilsson,Male,Sweden,Sweden,Europe,1915,1917,1916,2,1910s,8,0,8,"Known as the ""baby farming"" killer; she killed babies she received custody of by drowning them in a wash basin. Convicted for the murder of seven infants and the manslaughter of an eighth. She was the last Swede sentenced to death whose sentence was not commuted."
Yoshio Kodaira,Male,"China, Japan",Multiple Countries,Asia,1932,1946,1939,14,1930s,8,0,8,"A serial rapist, Kodaira killed his father-in-law in 1932 and seven to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese Navy, where he was free to target the locals. Hanged in 1949."
John Christie,Male,United Kingdom,United Kingdom,Europe,1943,1953,1948,10,1940s,8,0,8,"Serial killer and alleged necrophile active during the 1940s and early 1950s. He murdered at least eight people—including his wife, Ethel—by strangling them in his flat at 10 Rillington Place, Notting Hill, London. The bodies of three of Christie's victims were found in a wallpaper-covered kitchen alcove soon after Christie moved out of Rillington Place during March 1953. The remains of two more victims were discovered in the garden, and his wife's body was found beneath the floorboards of the front room. Christie was arrested and convicted of his wife's murder, for which he was hanged."
Eric Edgar Cooke,Male,Australia,Australia,Oceania,1958,1963,1960,5,1960s,8,0,8,"Known as the ""Night Caller"" and later the ""Nedlands Monster""; killed at least eight people and attempted to kill at least fourteen in and around Perth between 1959 and 1963; he was the last person to be hanged in Western Australia."
Forest City Killer,Unidentified,Canada,Canada,North America,1969,1970,1969,1,1960s,8,0,8,"Unidentified serial killer from the late 1960s to early 1970s. Based on the number of unsolved murders of women in the era, there is probably at least one other victim."
John Edward Robinson,Male,United States,United States,North America,1984,2000,1992,16,1990s,8,0,8,"Known as ""The Slavemaster""; lured victims through the internet."
Bruce McArthur,Male,Canada,Canada,North America,2010,2017,2013,7,2010s,8,0,8,"One of the oldest known serial killers, active at 65, he lured men to secret sexual encounters involving drugs and bondage, killed them and dismembered their bodies which he hid in garden planters."
Paul Ogorzow,Male,Germany,Germany,Europe,1940,1941,1940,1,1940s,8,0,8,"Known as the ""S-Bahn murderer""; SA sergeant convicted of raping and murdering eight women by throwing them off trains in Berlin during blackouts in 1941 and 1942. Executed by guillotine at the Plötzensee Prison on July 26, 1941."
Genzo Kurita,Male,Japan,Japan,Asia,1948,1952,1950,4,1950s,8,0,8,"Serial rapist and murderer, engaging in necrophilia in two of his murders. Two other victims were the children of the woman he targeted, who Kurita threw off a cliff (a third child survived). Hanged in 1959."
Marie Noe,Male,United States,United States,North America,1949,1968,1958,19,1950s,8,0,8,Murdered eight of her children between 1949 and 1968.
Kiyoshi Okubo,Male,Japan,Japan,Asia,1971,1980,1975,9,1970s,8,0,8,"Raped and murdered eight women aged 17 to 21 upon his release from prison, where he had been for previous rapes. Hanged in 1976."
Marybeth Tinning,Female,United States,United States,North America,1972,1983,1977,11,1970s,8,0,8,"Suffocated eight of her nine children during the 1970s. One daughter died of natural causes shortly after birth, the first of the Tinning children to die."
Michael Bruce Ross,Male,United States,United States,North America,1981,1984,1982,3,1980s,8,0,8,"Ross confessed to all of the murders, and was convicted of four of them. He was executed by the state of Connecticut on May 13, 2005 by lethal injection, making it the first execution in Connecticut and the whole of New England since 1960."
Gary C. Evans,Male,United States,United States,North America,1985,1998,1991,13,1990s,8,0,8,"Befriended the Son of Sam killer while incarcerated. Released in 1984, he proceeded to burglarize and kill while in and out of jails for over 13 years. Aided investigators in a high profile murder case before dodging parole and being chased. The manhunt finally ended when he jumped to his death off a bridge."
Colonial Parkway Killer,Male,United States,United States,North America,1986,1989,1987,3,1980s,8,0,8,Believed to have murdered at least eight people in Virginia between 1986 and 1989; left three couples dead and one couple missing and presumed dead.
Sean Vincent Gillis,Male,United States,United States,North America,1994,2003,1998,9,1990s,8,0,8,"Kidnapped, raped, and mutilated the corpses of Louisiana women."
Vladimir Mukhankin,Male,Russia,Russia,Europe,1995,1996,1995,1,1990s,8,0,8,"Known as ""The pupil of Chikatilo""; he killed 8 women."
